134;Hospital de Mendaro;Barrio Mendarozabal-Idiazabaltxo, 1, 20850 Mendaro (Gipuzkoa);20850;Mendaro;24 horas;Hospital;943032800
135;PAC DE HERNANI;Aristizabal, 2, 20120 Hernani (Gipuzkoa);20120;Hernani;24 horas;PAC;943006666
136;Ambulatorio de Galdakao;Bizkai, s/n, 48960 Galdakao (Bizkaia);48960;Galdakao;08:00 - 20:00;Centro de Salud;
137;Consultorio de Busturia;Barrio San Bartolome, 31, 48350 Busturia (Bizkaia);48350;Busturia;09:00 - 13:00;Consultorio;
138;Unidad Terapéutica Educativa de Ortuella;Avenida Minero, 3, 48530 Ortuella (Bizkaia);48530;Ortuella;08:00 - 15:00;Otros;944288080
139;Centro de Salud de Otxarkoaga;Zizeruena, 1, 48004 Bilbao (Bizkaia);48004;Bilbao;08:00 - 20:00;Centro de Salud;
140;Consultorio de Olaberria;Jose Maria Aristrain, 3, 20212 Olaberria (Gipuzkoa);20212;Olaberria;09:00 - 13:00;Consultorio;
141;Consultorio de Zaldibia;Santa Fe, 21-A, 20247 Zaldibia (Gipuzkoa);20247;Zaldibia;09:00 - 13:00;Consultorio;
142;Consultorio de Asparrena-Araia;Santsaerreka, 7, 01250 Asparrena (Álava);01250;Asparrena;09:00 - 13:00;Consultorio;
143;Tratamiento Asertivo Comunitario Sin Hogar;Virgen de Begoña, 32, 48006 Bilbao (Bizkaia);48006;Bilbao;08:00 - 15:00;Otros;944007481
144;PAC DE MUNGIA;Plaza Loradi, 1, 48100 Mungia (Bizkaia);48100;Mungia;24 horas;PAC;946007150
145;Centro de Salud de Bolueta-Sagarminaga;Sagarminaga, 56, 48004 Bilbao (Bizkaia);48004;Bilbao;08:00 - 20:00;Centro de Salud;
146;Consultorio de Artea;Plaza Herriko plaza, 2-A, 48142 Artea (Bizkaia);48142;Artea;09:00 - 13:00;Consultorio;
147;Centro de Salud de Martutene (Centro Penitenciario);Paseo Martutene, 1, 20014 Donostia / San Sebastián (Gipuzkoa);20014;Donostia / San Sebastián;08:00 - 20:00;Centro de Salud;943442359
148;Consultorio de Itziar;Plaza Zabalsoro, 3, 20829 Deba (Gipuzkoa);20829;Deba;09:00 - 13:00;Consultorio;
149;Consultorio de Gatika;Barrio Sertutxa, 4, 48110 Gatika (Bizkaia);48110;Gatika;09:00 - 13:00;Consultorio;
150;Centro de Salud de Azkoitia;Barrio Jausoro, 6, 20720 Azkoitia (Gipuzkoa);20720;Azkoitia;08:00 - 20:00;Centro de Salud;943007610
